epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,324.132,0.95226,0.76469,0.87825,0.76338,0.82617,0.86197,0.64094,0.88337,0.67989,0.85647,0.000172935,0.000172935,0.000172935
97,327.839,0.91688,0.73772,0.88285,0.8874,0.76909,0.85512,0.63229,0.87989,0.65848,0.85766,0.000172513,0.000172513,0.000172513
98,331.443,0.95409,0.74961,0.88761,0.87517,0.77828,0.83592,0.60947,0.88694,0.64992,0.85642,0.000172091,0.000172091,0.000172091
99,334.992,0.95372,0.7497,0.89443,0.89646,0.7387,0.82904,0.6155,0.89138,0.64073,0.85679,0.000171669,0.000171669,0.000171669
100,338.493,0.92707,0.74422,0.88607,0.91423,0.71124,0.81027,0.59855,0.91138,0.66175,0.86076,0.000171248,0.000171248,0.000171248
101,342.214,0.94382,0.7486,0.88529,0.89314,0.73459,0.81416,0.59492,0.94278,0.67798,0.86592,0.000170826,0.000170826,0.000170826
102,345.919,0.95272,0.76667,0.88196,0.9088,0.72094,0.8202,0.6059,0.89498,0.66173,0.85886,0.000170404,0.000170404,0.000170404
103,349.486,0.97089,0.75802,0.87553,0.93384,0.73524,0.82892,0.61642,0.91673,0.65266,0.86331,0.000169983,0.000169983,0.000169983
104,352.991,0.94028,0.73724,0.88994,0.92596,0.73794,0.84,0.62604,0.88864,0.63597,0.86135,0.000169561,0.000169561,0.000169561
105,356.708,0.94307,0.73407,0.89287,0.92683,0.73907,0.84954,0.62885,0.88586,0.62391,0.86144,0.000169139,0.000169139,0.000169139
106,360.478,0.95889,0.75059,0.8865,0.85818,0.74717,0.84984,0.63686,0.88398,0.63905,0.86137,0.000168717,0.000168717,0.000168717
107,364.036,0.95722,0.74734,0.88767,0.87513,0.77946,0.87002,0.65742,0.90074,0.64167,0.86606,0.000168296,0.000168296,0.000168296
108,367.509,0.92812,0.72529,0.88003,0.86713,0.79003,0.8584,0.64249,0.88022,0.62224,0.86283,0.000167874,0.000167874,0.000167874
109,370.895,0.95086,0.72077,0.88442,0.73705,0.83487,0.85583,0.63925,0.87798,0.61249,0.85996,0.000167452,0.000167452,0.000167452
110,374.304,0.90528,0.69899,0.88279,0.78723,0.87215,0.87321,0.64793,0.91245,0.62919,0.86048,0.00016703,0.00016703,0.00016703
111,377.744,0.91688,0.73237,0.8712,0.86036,0.81777,0.87477,0.65639,0.8908,0.63078,0.85807,0.000166609,0.000166609,0.000166609
112,381.361,0.9334,0.7251,0.88425,0.83747,0.85438,0.87044,0.64988,0.88527,0.62429,0.85814,0.000166187,0.000166187,0.000166187
113,385.121,0.93075,0.73305,0.88511,0.79537,0.83403,0.88449,0.66534,0.8955,0.62674,0.8585,0.000165765,0.000165765,0.000165765
114,388.612,0.91889,0.71086,0.87987,0.80137,0.85757,0.86661,0.64733,0.8965,0.62872,0.85883,0.000165343,0.000165343,0.000165343
115,391.999,0.93408,0.73253,0.88228,0.79941,0.87137,0.87263,0.64912,0.87893,0.62356,0.85536,0.000164922,0.000164922,0.000164922
116,395.5,0.94382,0.73596,0.88165,0.77548,0.87058,0.88223,0.6673,0.88284,0.62209,0.85571,0.0001645,0.0001645,0.0001645
117,399.001,0.91085,0.70257,0.88047,0.74381,0.90318,0.88375,0.6697,0.90088,0.62205,0.8596,0.000164078,0.000164078,0.000164078
118,402.404,0.91786,0.72012,0.8898,0.77818,0.86957,0.87418,0.65679,0.88774,0.61086,0.85541,0.000163656,0.000163656,0.000163656
119,405.794,0.9036,0.70611,0.88133,0.70092,0.87701,0.86898,0.65655,0.89178,0.62173,0.85595,0.000163235,0.000163235,0.000163235
120,409.223,0.90417,0.71235,0.87484,0.6941,0.82527,0.82959,0.63187,0.94607,0.65009,0.86442,0.000162813,0.000162813,0.000162813
